content_id,content_name,content_type_id,subcat_slug,slug,url
5000084,dailydose_news,61,rheumatoid-arthritis,rheumatoid-arthritis,/dailydose/2012/12/28/marijuana_linked_to_psychotic_behavior/
5000085,dailydose_news,61,cold-flu,cold-flu,/dailydose/2012/12/28/immunity_learned_in_flight/
5000088,dailydose_news,61,adhd,adhd,/dailydose/2012/12/31/recess_as_important_as_academic_classes/
5000089,dailydose_news,61,NULL,NULL,/dailydose/2012/12/31/single_vehicle_accidents_spike_at_new_year_s/
5000090,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/31/college_women_more_likely_to_binge_drink/
5000094,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/2/space_travel_may_cause_alzheimer_s/
5000095,dailydose_news,61,obesity,obesity,/dailydose/2013/1/2/overweight_people_have_lowest_mortality/
5000096,dailydose_news,61,NULL,NULL,/dailydose/2013/1/2/pill_color_matters_to_patients/
5000097,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/3/at_50_memory_starts_to_go/
5000098,dailydose_news,61,adhd,adhd,/dailydose/2013/1/3/let_the_baby_cry/
5000099,dailydose_news,61,obesity,obesity,/dailydose/2013/1/3/fructose_could_cause_weight_gain/
5000100,dailydose_news,61,skin-cancer,skin-cancer,/dailydose/2013/1/4/immune_booster_could_be_used_to_fight_cancer/
5000101,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/4/lose_weight_by_cutting_out_alcohol_calories/
5000102,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/1/4/drowsy_driving_is_common_and_dangerous/
5000110,dailydose_news,61,NULL,NULL,/dailydose/2013/1/7/blind_mice_get_sight_back/
5000111,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/1/7/walking_reduces_stroke_risk_among_women/
5000112,dailydose_news,61,obesity,obesity,/dailydose/2013/1/7/balancing_good_fat_and_bad_fat/
5000113,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/1/8/red_wine_could_mask_testosterone_levels/
5000114,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/1/8/u_s_cancer_death_rates_continue_to_drop/
5000115,dailydose_news,61,obesity,obesity,/dailydose/2013/1/8/americans_largely_unaware_of_obesity_health_risks/
5000116,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/1/9/expensive_breast_cancer_screening_may_not_improve_results/
5000117,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/9/speaking_two_languages_keeps_brain_sharp_with_age/
5000118,dailydose_news,61,depression,depression,/dailydose/2013/1/9/diet_drinks_cause_depression_not_so_fast/
5000119,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/1/10/gonorrhea_may_become_incurable/
5000120,dailydose_news,61,NULL,NULL,/dailydose/2013/1/10/mussels_inspire_new_surgical_adhesive/
5000121,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/10/stand_up_at_work_to_lose_weight_at_the_office/
5000122,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/1/11/fda_reduces_dosages_for_popular_sleep_meds/
5000123,dailydose_news,61,diabetes,diabetes,/dailydose/2013/1/11/pear_shaped_bodies_not_healthier_than_apple_shaped/
5000124,dailydose_news,61,NULL,NULL,/dailydose/2013/1/11/breath_test_finds_tb_lung_infections/
5000125,dailydose_news,61,anxiety,anxiety,/dailydose/2013/1/14/road_rage_inspires_more_road_rage/
5000126,dailydose_news,61,obesity,obesity,/dailydose/2013/1/14/fast_food_harms_kids_immune_system/
5000127,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/14/real_time_brain_tumor_analysis_on_horizon/
5000135,dailydose_news,61,obesity,obesity,/dailydose/2013/1/15/coca_cola_co_joins_obesity_conversation/
5000136,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/15/tweet_your_way_to_weight_loss/
5000137,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/1/15/strawberries_blueberries_protect_womens_hearts/
5000138,dailydose_news,61,cold-flu,cold-flu,/dailydose/2013/1/16/be_patient_with_your_cough/
5000139,dailydose_news,61,NULL,NULL,/dailydose/2013/1/16/energy_drinks_pose_health_risk/
5000140,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/16/one_step_closer_to_alzheimer_s_vaccine/
5000141,dailydose_news,61,adhd,adhd,/dailydose/2013/1/17/can_children_grow_out_of_autism/
5000142,dailydose_news,61,incontinence,incontinence,/dailydose/2013/1/17/coffee_causes_incontinence_in_men/
5000143,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/17/couples_are_healthy_or_unhealthy_together/
5000144,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/1/18/post_meal_workout_lowers_heart_disease/
5000145,dailydose_news,61,copd,copd,/dailydose/2013/1/18/loss_of_tress_increases_death_risk/
5000146,dailydose_news,61,skin-cancer,skin-cancer,/dailydose/2013/1/18/tanning_bed_rays_twice_as_deadly/
5000154,dailydose_news,61,obesity,obesity,/dailydose/2013/1/21/could_viagra_help_fight_obesity/
5000155,dailydose_news,61,depression,depression,/dailydose/2013/1/21/loneliness_taxing_on_the_immune_system/
5000156,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/21/aging_brains_work_harder_to_multitask/
5000157,dailydose_news,61,obesity,obesity,/dailydose/2013/1/22/car_crashes_more_deadly_for_obese_drivers/
5000158,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/1/22/hearing_loss_linked_to_brain_decline/
5000159,dailydose_news,61,adhd,adhd,/dailydose/2013/1/22/childhood_diagnoses_of_adhd_on_the_rise/
5000160,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/1/23/alcohol_fuelled_sleep_less_satisfying/
5000161,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/23/people_reach_for_high_calorie_foods_in_tough_times/
5000162,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/1/23/poor_sleep_can_make_unhappy_relationships/
5000163,dailydose_news,61,depression,depression,/dailydose/2013/1/24/fruit_vegetables_make_young_people_calmer/
5000164,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/24/smaller_bites_may_prevent_overeating/
5000165,dailydose_news,61,copd,copd,/dailydose/2013/1/24/quit_smoking_by_40_to_prevent_early_death/
5000166,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/1/25/protected_sex_just_as_enjoyable_as_unprotected/
